,count,mean,std,min,25%,50%,75%,max
Age,997.0,57.772316950852556,12.48072071259777,18.0,49.0,58.0,66.0,91.0
ctDNA_Level,997.0,3.834964894684052,3.1809148686151314,0.25,1.82,2.92,4.71,25.16
Protein_Biomarker,997.0,48.21013039117352,17.666169984769542,-5.9,36.5,47.9,59.6,105.4
SpO2,997.0,95.96108324974927,2.3882262305324184,88.4,94.3,96.0,97.8,100.0
Heart_Rate,997.0,80.4603811434303,13.795249933876441,45.0,71.0,80.0,90.0,128.0
WBC_Count,997.0,7.213440320962888,2.4966242066872546,1.2,5.5,7.2,8.9,14.9
Platelet_Count,997.0,246.4272818455366,69.54315913058053,55.0,200.0,249.0,293.0,496.0
Creatinine,997.0,1.0387061183550654,0.3564621888236138,0.35,0.81,1.04,1.28,2.06
Bilirubin,997.0,1.0185356068204614,0.414093656327649,0.2,0.73,1.0,1.29,2.34
BMI,997.0,25.635506519558678,4.564390178326964,15.0,22.7,25.7,28.6,42.0
ECOG_Status,997.0,1.489468405215647,1.035096671200175,0.0,1.0,1.0,2.0,4.0
Dose_mg,997.0,77.54327983951855,38.641924879702344,20.0,61.1,75.85,90.6,999.0
