Feature,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count
Age,49.0,66.0,17.0,23.5,91.5,3
ctDNA_Level,1.82,4.71,2.8899999999999997,-2.514999999999999,9.044999999999998,60
Protein_Biomarker,36.5,59.6,23.1,1.8499999999999943,94.25,10
SpO2,94.3,97.8,3.5,89.05,103.05,2
Heart_Rate,71.0,90.0,19.0,42.5,118.5,5
WBC_Count,5.5,8.9,3.4000000000000004,0.39999999999999947,14.0,6
Platelet_Count,200.0,293.0,93.0,60.5,432.5,11
Creatinine,0.81,1.28,0.47,0.1050000000000001,1.9849999999999999,2
Bilirubin,0.73,1.29,0.56,-0.1100000000000001,2.13,4
BMI,22.7,28.6,5.900000000000002,13.849999999999996,37.45,4
ECOG_Status,1.0,2.0,1.0,-0.5,3.5,34
Dose_mg,61.1,90.6,29.499999999999993,16.850000000000016,134.84999999999997,2
