Feature,Importance
numeric__Dose_mg,0.25824589490849736
numeric__ECOG_Status,0.08785027165818052
numeric__Bilirubin,0.049549574376471194
numeric__Creatinine,0.04546381584852086
numeric__WBC_Count,0.0453093935765534
numeric__Heart_Rate,0.04439706834138927
numeric__Protein_Biomarker,0.04201181152864581
numeric__Platelet_Count,0.04170013335718517
numeric__BMI,0.04133352787923508
numeric__Age,0.04035626147853857
numeric__ctDNA_Level,0.03890589767729946
numeric__SpO2,0.03518098792413532
categorical__Sex_Male,0.0077575835308197035
categorical__Sex_Female,0.007450322052762911
categorical__Cancer_Stage_III,0.006588132795781601
categorical__Treatment_Response_Progressive Disease,0.00655648009439059
categorical__Cancer_Stage_IV,0.006541352726934809
categorical__Treatment_Response_Complete Response,0.006507638456635891
categorical__Treatment_Response_Stable Disease,0.006402040112331241
categorical__Gene_Mutation_KRAS,0.006296613378971619
categorical__Cancer_Stage_II,0.005962178319506384
categorical__Treatment_Chemotherapy,0.005885892877026352
categorical__Gene_Mutation_TP53,0.005605631273372983
categorical__Treatment_Response_Partial Response,0.005580440614786318
categorical__Cancer_Type_Gastric Cancer,0.005469396104344518
categorical__Cancer_Type_Renal Cancer,0.005420171508629453
categorical__Sex_Unknown,0.0053190703339430784
categorical__Cancer_Type_Liver Cancer,0.005278156971894698
categorical__Cancer_Type_Colorectal Cancer,0.005235961018240872
categorical__Treatment_Response_Unknown,0.00518341267421211
categorical__Gene_Mutation_Unknown,0.00510895066749207
categorical__Cancer_Type_NSCLC,0.004882921430247701
categorical__Cancer_Type_Ovarian Cancer,0.004861511090538827
categorical__Gene_Mutation_EGFR,0.004807448508545553
categorical__Treatment_FOLFOX,0.004619231146418515
categorical__Treatment_Cisplatin+Gemcitabine,0.004560734834604723
categorical__Gene_Mutation_PIK3CA,0.004425190457592614
categorical__Treatment_Osimertinib,0.00429513754616527
categorical__Treatment_Olaparib,0.004242759614635433
categorical__Treatment_Targeted Therapy,0.004225159381070051
categorical__Gene_Mutation_BRAF,0.004146757153571145
categorical__Cancer_Stage_I,0.004103903773437935
categorical__Cancer_Type_Melanoma,0.004075692804166216
categorical__Treatment_Sorafenib,0.0039611492990618054
categorical__Treatment_Carboplatin+Paclitaxel,0.003940497219718571
categorical__Gene_Mutation_HER2,0.003885345849006612
categorical__Cancer_Type_Pancreatic Cancer,0.003747544259753036
categorical__Cancer_Type_Breast Cancer,0.00372614711298494
categorical__Gene_Mutation_RET,0.003656532514803781
categorical__Treatment_Trastuzumab,0.003599922802506839
categorical__Cancer_Type_Prostate Cancer,0.003587418423787467
categorical__Treatment_Immunotherapy,0.0035088192511321084
categorical__Treatment_Nivolumab,0.0034057621672544656
categorical__Gene_Mutation_ALK,0.0033889100926594623
categorical__Treatment_Docetaxel,0.0032159472882922757
categorical__Gene_Mutation_PD-L1,0.0031124002998580533
categorical__Gene_Mutation_ROS1,0.0030698283317585786
categorical__Treatment_Pembrolizumab,0.002839485130362852
categorical__Gene_Mutation_BRCA1,0.0026724009488001714
categorical__Gene_Mutation_BRCA2,0.0026339193614788163
categorical__Gene_Mutation_NTRK,0.0024150193241184352
categorical__Gene_Mutation_MET,0.0019324385149385285
